group,names,scores,logfoldchanges,pvals,pvals_adj
Cluster 1,CCDC77,3.1579094,1.4339775,0.0015890494960876,0.0028752560922195
Cluster 1,KIF27,3.1553123,1.2366332,0.0016032644631333,0.002900686271442
Cluster 1,TCEANC2,3.153255,1.2898573,0.0016146074836991,0.0029209158425805
Cluster 1,CD83,3.15092,0.6077874,0.0016275706457079,0.0029434822954625
Cluster 1,PRDM11,3.1503377,1.2961066,0.0016308178924705,0.0029487643438703
Cluster 1,RNF166,3.1489766,0.4002555,0.0016384331344998,0.0029622372389665
Cluster 1,PCNX4,3.147746,0.81242335,0.0016453460215443,0.0029744377272047
Cluster 1,BMP2,3.1418886,0.26088426,0.0016786185332466,0.0030342836309678
Cluster 1,PSMD5,3.1412425,1.3205885,0.0016823272013815,0.0030403910049874
Cluster 1,MINDY4,3.1412208,1.2118188,0.0016824509300665,0.0030403910049874
Cluster 1,IDO1,3.141212,0.70794076,0.0016825023431631,0.0030403910049874
Cluster 1,UBE2F,3.1407118,0.43252409,0.0016853779919622,0.0030452827475339
Cluster 1,SLC22A18AS,3.1399264,0.74831456,0.0016899030693574,0.0030531535394153
Cluster 1,KIF24,3.1393857,2.1954222,0.0016930245309047,0.0030584870927448
Cluster 1,BTN3A1,3.1290336,0.3601226,0.001753823115191,0.0031667371077013
Cluster 1,DNAL1,3.128737,0.8714888,0.0017555937556248,0.0031696172804512
Cluster 1,ZNF850,3.123743,1.5187519,0.0017856627678835,0.0032235827514186
Cluster 1,ZNF426,3.1226687,0.3908311,0.0017921927403917,0.0032350476315468
Cluster 1,ZNF568,3.1190631,0.47077292,0.0018142708209032,0.0032742457009665
Cluster 1,ZNF30,3.114673,1.152093,0.0018414897318293,0.0033227039945417
Cluster 1,DMTN,3.1084998,0.35281634,0.0018803974830018,0.0033925684631878
Cluster 1,THAP5,3.1075115,0.9259223,0.0018866964942781,0.003403592936431
Cluster 1,TUBA1A,3.1055295,0.5837047,0.0018993863018573,0.0034258008229065
Cluster 1,SLC46A1,3.0968032,1.2935733,0.0019561968254552,0.0035265051686204
Cluster 1,CEP41,3.0960472,1.2890513,0.0019611913573879,0.003535156072241
Cluster 1,ZSCAN5A,3.0946913,1.3659993,0.0019701786829749,0.0035510017623676
Cluster 1,RIBC2,3.0925455,2.1592174,0.0019844781655933,0.003576417835757
Cluster 1,C5,3.085533,1.4340326,0.0020318773247945,0.0036603791631225
Cluster 1,ZNF136,3.0851448,1.0374012,0.0020345312989363,0.0036647946330367
Cluster 1,SNX11,3.0806494,0.89853287,0.0020654963964641,0.0037202008704717
Cluster 1,CHRM3,3.0753822,1.2972016,0.0021023297605898,0.0037850319857159
Cluster 1,SLC3A1,3.0742354,1.4194483,0.0021104273604184,0.003799232107909
Cluster 1,NAPSA,3.0688024,1.5389049,0.0021491875849875,0.0038674668071454
