,group,names,scores,logfoldchanges,pvals,pvals_adj
81042,Strom,LSM5,-13.604315,-0.39475638,3.774876990464171e-42,3.526531964197502e-41
81043,Strom,FAM101A,-13.617003,-2.7307303,3.173247540864502e-42,2.9670447194577094e-41
81044,Strom,BRCC3,-13.6226015,-0.6209471,2.939069145781092e-42,2.7486774150323517e-41
81045,Strom,WBSCR27,-13.642329,-2.3767579,2.242809492634644e-42,2.1006985600565386e-41
81046,Strom,PAWR,-13.646879,-0.30560678,2.1070978747268263e-42,1.97444057618373e-41
81047,Strom,LSM4,-13.651061,-0.42658326,1.9896067156760966e-42,1.8651539499218716e-41
81048,Strom,FGFBP1,-13.666484,-4.0322614,1.6098917668467895e-42,1.5101719864036138e-41
81049,Strom,MT-CO3,-13.674656,-0.057362247,1.438866899932141e-42,1.3500333224119429e-41
81050,Strom,TMSB4X,-13.684852,-0.15283722,1.2506265472784783e-42,1.1749428743066442e-41
81051,Strom,JSRP1,-13.705818,-4.2684417,9.370539803905877e-43,8.81878025206902e-42
81052,Strom,SDSL,-13.716941,-0.771984,8.038644506232267e-43,7.566955448428555e-42
81053,Strom,GPRC5C,-13.724392,-0.12885304,7.253520144545926e-43,6.83087160348644e-42
81054,Strom,EFNA4,-13.742401,-0.7907102,5.6568432238375395e-43,5.329549160081332e-42
81055,Strom,CCNB1,-13.763373,-1.5374027,4.2330521400705895e-43,3.9898728816754194e-42
81056,Strom,pP11,-13.768595,-1.3239748,3.9379989531088644e-43,3.7125783203759066e-42
81057,Strom,TNIK,-13.787581,-0.9889012,3.027400047822173e-43,2.8565931735303966e-42
81058,Strom,SLC9A3,-13.79562,-1.5730016,2.7081393109474602e-43,2.5570175754020065e-42
81059,Strom,CNOT1,-13.809584,-0.4047648,2.231169677634374e-43,2.1089645334651885e-42
81060,Strom,HSBP1L1,-13.81078,-0.37836704,2.1944302854985663e-43,2.074690511510462e-42
81061,Strom,ATP5G1,-13.814248,-0.42639157,2.0912647756275545e-43,1.977586235934276e-42
81062,Strom,LBR,-13.823097,-0.5018944,1.8493843974304283e-43,1.7503838943709556e-42
81063,Strom,PLEKHH1,-13.829704,-3.2268157,1.6871354187380165e-43,1.5971696236618292e-42
81064,Strom,TPX2,-13.848778,-1.4447974,1.2939553332106907e-43,1.2260283435206899e-42
81065,Strom,AREG,-13.853886,-2.895819,1.205119744236379e-43,1.1421062572813435e-42
81066,Strom,MDH2,-13.8596325,-0.40297353,1.1124232840037009e-43,1.0549497059213012e-42
81067,Strom,ABCA7,-13.862465,-1.9370335,1.0693725874251705e-43,1.0145678283414343e-42
81068,Strom,FABP6,-13.8649,-4.4686146,1.0337112537791057e-43,9.80949144618883e-43
81069,Strom,KCTD5,-13.87396,-0.73221064,9.110537820768245e-44,8.651213206636488e-43
81070,Strom,UGT2A3,-13.882164,-4.6690974,8.125323858419042e-44,7.71905766549809e-43
81071,Strom,PITPNM1,-13.899704,-1.1323206,6.360369469947355e-44,6.04898948359177e-43
81072,Strom,KIFC2,-13.925705,-1.4494386,4.4215722139160336e-44,4.213440963511972e-43
81073,Strom,OASL,-13.929681,-1.9299253,4.1822189573718895e-44,3.987110152268064e-43
81074,Strom,C3AR1,-13.9510975,-4.7573757,3.0980044168261565e-44,2.957384807434268e-43
81075,Strom,FRMD1,-13.954065,-3.1383781,2.9717371991815083e-44,2.838100826455738e-43
