"group","names","p.value","FDR","summary.AUC","AUC.VEGFA.","AUC.Surface.epithelium","AUC.Outer.surface","AUC.Crypt","AUC.FDCSP.epithelium","AUC.Basal.cells"
"Basal cells","RPL10A",0.99501495772905,1,0.340191036002939,0.801435406698565,0.86078431372549,0.807017543859649,0.340191036002939,0.43421052631579,NA
"Basal cells","ACTG1",0.969449157962343,1,0.339912280701754,0.657894736842105,0.405882352941176,0.491228070175439,0.481263776634827,0.339912280701754,NA
"Basal cells","GABARAP",0.980795390733843,1,0.339912280701754,0.526315789473684,0.464705882352941,0.274853801169591,0.371050698016165,0.339912280701754,NA
"Basal cells","CCNI",0.997532856673965,1,0.339456282145481,0.535885167464115,0.492156862745098,0.473684210526316,0.339456282145481,0.388157894736842,NA
"Basal cells","PRDX5",0.964712432933051,1,0.33921568627451,0.478468899521531,0.33921568627451,0.485380116959064,0.42468772961058,0.392543859649123,NA
"Basal cells","IGHG3",0.994887829966908,1,0.337254901960784,0.392344497607655,0.337254901960784,0.461988304093567,0.432035268185158,0.401315789473684,NA
"Basal cells","PARP1",0.996950690857951,1,0.337254901960784,0.389952153110048,0.337254901960784,0.39766081871345,0.407053637031594,0.429824561403509,NA
"Basal cells","RPL12",0.995215207140167,1,0.33651726671565,0.753588516746411,0.837254901960784,0.736842105263158,0.33651726671565,0.383771929824561,NA
"Basal cells","SET",0.997272741568651,1,0.33651726671565,0.33732057416268,0.535294117647059,0.350877192982456,0.33651726671565,0.31140350877193,NA
"Basal cells","TXN",0.994835414568879,1,0.335782512858192,0.435406698564593,0.484313725490196,0.514619883040936,0.335782512858192,0.44078947368421,NA
"Basal cells","RPS12",0.994566990986756,1,0.335047759000735,0.751196172248804,0.843137254901961,0.707602339181287,0.335047759000735,0.513157894736842,NA
"Basal cells","BTF3",0.996946039418109,1,0.335047759000735,0.629186602870813,0.594117647058824,0.614035087719298,0.335047759000735,0.331140350877193,NA
"Basal cells","IGKC",0.978719374155186,1,0.333333333333333,0.442583732057416,0.629411764705882,0.461988304093567,0.506980161645849,0.333333333333333,NA
"Basal cells","GDI2",0.994986057229201,1,0.331373989713446,0.404306220095694,0.33921568627451,0.426900584795322,0.331373989713446,0.394736842105263,NA
"Basal cells","ECH1",0.993261133935536,1,0.330639235855988,0.430622009569378,0.382352941176471,0.350877192982456,0.330639235855988,0.339912280701754,NA
"Basal cells","TUBB4B",0.995403143996556,1,0.32990448199853,0.351674641148325,0.396078431372549,0.345029239766082,0.32990448199853,0.31140350877193,NA
"Basal cells","GAPDH",0.996846885006013,1,0.32990448199853,0.772727272727273,0.731372549019608,0.760233918128655,0.32990448199853,0.381578947368421,NA
"Basal cells","COX5B",0.989361093527139,1,0.326754385964912,0.4688995215311,0.486274509803922,0.52046783625731,0.423952975753123,0.326754385964912,NA
"Basal cells","EEF2",0.997561809367523,1,0.325495958853784,0.430622009569378,0.635294117647059,0.543859649122807,0.325495958853784,0.414473684210526,NA
"Basal cells","CFL1",0.997734949946906,1,0.325495958853784,0.679425837320574,0.680392156862745,0.514619883040936,0.325495958853784,0.30921052631579,NA
"Basal cells","RPS17",0.998085542767055,1,0.325495958853784,0.590909090909091,0.615686274509804,0.573099415204678,0.325495958853784,0.43640350877193,NA
"Basal cells","METAP2",0.998234436372486,1,0.325495958853784,0.351674641148325,0.350980392156863,0.350877192982456,0.325495958853784,0.359649122807018,NA
"Basal cells","EIF4B",0.992007501595669,1,0.324561403508772,0.471291866028708,0.388235294117647,0.491228070175439,0.353416605437179,0.324561403508772,NA
"Basal cells","H2AFZ",0.998821112505101,1,0.324026451138868,0.411483253588517,0.384313725490196,0.491228070175439,0.324026451138868,0.317982456140351,NA
"Basal cells","SNX3",0.998021839861191,1,0.323291697281411,0.413875598086124,0.407843137254902,0.362573099415205,0.323291697281411,0.364035087719298,NA
"Basal cells","RPL13",0.996836181821776,1,0.319617927994122,0.844497607655502,0.87843137254902,0.847953216374269,0.319617927994122,0.423245614035088,NA
"Basal cells","FABP5",0.998773900716497,1,0.319617927994122,0.296650717703349,0.33921568627451,0.292397660818713,0.319617927994122,0.31578947368421,NA
