,group,names,scores,logfoldchanges,pvals,pvals_adj
27142,Fibro,MYH10,20.306425,4.309365,1.1282287906461504e-91,3.299459359239641e-90
27143,Fibro,VIMP,20.262121,0.70947576,2.777348644237952e-91,8.100350675195894e-90
27144,Fibro,TCF25,20.246063,0.7372559,3.847856764486859e-91,1.1199928478851394e-89
27145,Fibro,VAMP2,20.23302,0.7063758,5.013535585950711e-91,1.4583054249403136e-89
27146,Fibro,MCC,20.220358,4.1489997,6.481065462036954e-91,1.8839051398783307e-89
27147,Fibro,GLIPR2,20.218729,1.1929764,6.698777811080317e-91,1.9445774729656492e-89
27148,Fibro,METTL7A,20.200476,1.5558529,9.695887612133221e-91,2.8127172093052954e-89
27149,Fibro,ACVR1,20.171947,2.5594268,1.726997560476181e-90,4.999860094483617e-89
27150,Fibro,GSTO1,20.12842,0.73731583,4.160503502990737e-90,1.2021022204035052e-88
27151,Fibro,FKBP8,20.124208,0.7316484,4.529500020869144e-90,1.307844028707527e-88
27152,Fibro,REV3L,20.121151,1.9727379,4.817663954248102e-90,1.3901208751184424e-88
27153,Fibro,ZSCAN18,20.104874,2.52864,6.688949394344023e-90,1.9287881924450234e-88
27154,Fibro,PGAM1,20.07481,0.6921793,1.2255138899325462e-89,3.529121236464435e-88
27155,Fibro,FAM3C,20.054724,1.0306212,1.8355917787352647e-89,5.282452351543865e-88
27156,Fibro,CSNK1A1,20.04945,0.7432898,2.0408536281829162e-89,5.869250945848039e-88
27157,Fibro,MAP9,20.015106,3.1795943,4.067669367597085e-89,1.1674858459438793e-87
27158,Fibro,STEAP2,19.97862,2.6466126,8.452842301887478e-89,2.4212833918616404e-87
27159,Fibro,EFHC1,19.949032,2.1217353,1.528197873718781e-88,4.365904974937048e-87
27160,Fibro,MEG8,19.93971,4.5776935,1.8412327347083422e-88,5.25674374826164e-87
27161,Fibro,SHISA4,19.93219,4.162262,2.1399375295292043e-88,6.1015004053414385e-87
27162,Fibro,MIR99AHG,19.915997,6.4485455,2.957066521761676e-88,8.420246920716372e-87
27163,Fibro,PDGFD,19.909544,4.462091,3.363664609051795e-88,9.571737778368166e-87
27164,Fibro,HLA-A,19.895758,0.76384395,4.4286049587365804e-88,1.257735431916251e-86
27165,Fibro,EXTL2,19.889236,2.8665876,5.043759596761513e-88,1.4315016581444707e-86
27166,Fibro,PHC2,19.87663,1.6496699,6.484508980067118e-88,1.8392039166137943e-86
27167,Fibro,PLEKHO1,19.85973,1.2530019,9.079781082685603e-88,2.5719311833821877e-86
27168,Fibro,MAN1C1,19.858297,3.4688802,9.342310971319554e-88,2.64456444382376e-86
27169,Fibro,CRABP2,19.834269,4.7274556,1.506947923601432e-87,4.260203790288516e-86
27170,Fibro,FHL3,19.806313,2.5990229,2.626310922982503e-87,7.415002568071018e-86
27171,Fibro,VAPA,19.774462,0.6545985,4.940643686256714e-87,1.3940087355186644e-85
27172,Fibro,DNAJB4,19.770084,1.8846406,5.388503670873628e-87,1.519382513894152e-85
27173,Fibro,HSP90AB1,19.762825,0.6884052,6.222347936621188e-87,1.753357183547124e-85
27174,Fibro,CRYBG3,19.759789,2.685865,6.6079927603812645e-87,1.860814200747052e-85
27175,Fibro,CYB5A,19.727873,0.93722117,1.242926544260004e-86,3.49100238083462e-85
27176,Fibro,TMEM9,19.717497,1.691388,1.5259652137494515e-86,4.280416486163562e-85
27177,Fibro,MSN,19.687025,0.6590894,2.7857526784995316e-86,7.804074267366779e-85
27178,Fibro,PALM,19.659426,4.77189,4.801395149776326e-86,1.3442043005990876e-84
27179,Fibro,EDNRA,19.652655,4.8241124,5.48663989688564e-86,1.5350533162055867e-84
27180,Fibro,HP1BP3,19.640604,0.8746029,6.956454854697115e-86,1.945021182306205e-84
27181,Fibro,PRRX2,19.633297,5.514176,8.03279593254377e-86,2.2445156459158134e-84
27182,Fibro,TMED1,19.62071,1.8392354,1.0290394000684862e-85,2.8734763428234983e-84
27183,Fibro,MEIS3,19.577303,5.7202554,2.4147332715473646e-85,6.7298445240897e-84
27184,Fibro,CH25H,19.519922,4.175603,7.435255436898843e-85,2.0695352142755996e-83
27185,Fibro,RFLNB,19.500254,2.3664439,1.0923738995558226e-84,3.0366170276541497e-83
27186,Fibro,PODNL1,19.4824,4.7742953,1.5484474355461712e-84,4.3016625099685096e-83
27187,Fibro,HOOK3,19.477308,1.3985502,1.7103837286099196e-84,4.7454377270317014e-83
27188,Fibro,OAZ2,19.447573,1.1412582,3.055611536147595e-84,8.466900032492971e-83
27189,Fibro,BAD,19.433979,1.1078231,3.982576007881636e-84,1.1028397618242673e-82
27190,Fibro,DMKN,19.432592,2.848715,4.0916712895671725e-84,1.1323255546997848e-82
27191,Fibro,ANXA7,19.422033,0.89791185,5.025946553795334e-84,1.3899873402004453e-82
27192,Fibro,CDK4,19.418182,1.0216181,5.417334234515941e-84,1.497273693092714e-82
27193,Fibro,ERH,19.410099,0.6130008,6.340389682080435e-84,1.751274704657341e-82
27194,Fibro,HOMER3,19.3996,2.4376302,7.777531048524627e-84,2.146856497718386e-82
27195,Fibro,HOXB2,19.390852,1.9368951,9.21980767023558e-84,2.5433506410652413e-82
27196,Fibro,TMEM55A,19.373343,2.3371859,1.2956717636920264e-83,3.569654059587415e-82
